artist,song
/drake/,In the Bible (with GIVĒON & Lil Durk)
/drake/,0 To 100/The Catch Up
/drake/,6pm In New York
/drake/,Back to Back
/drake/,Bria's Interlude (feat. Omarion)
/drake/,Chicago Freestyle
/drake/,Controlla
/drake/,Diplomatic Immunity
/drake/,Emotionless
/drake/,Fire & Desire
/drake/,Get Along Better (feat. Ty Dolla $ign)
/drake/,Hate Sleeping Alone
/drake/,Hype
/drake/,Ignant Shit (feat. Lil Wayne)
/drake/,Jumpman (With Future)
/drake/,Look What You've Done
/drake/,Marvin's Room
/drake/,Mr. Wrong
/drake/,Nothings Into Somethings
/drake/,Over Here
/drake/,Popstar
/drake/,Right Hand
/drake/,Shot For Me
/drake/,Started From The Bottom
/drake/,Sweeterman (Remix)
/drake/,The Motto (feat. Lil Wayne)
/drake/,Too Much (Feat. Sampha)
/drake/,Unstoppable (feat. Santo Gold & Lil' Wayne)
/drake/,We'll Be Fine
/drake/,With You
/cardi-b/,Wap (Feat. Megan Thee Stallion)
/cardi-b/,Backin' It Up
/cardi-b/,Pull Up
/cardi-b/,I Gotta Hurt You
/cardi-b/,Rollin
/pharrell-williams/,Get Lucky
/pharrell-williams/,Angel
/pharrell-williams/,Come Get It Bae
/pharrell-williams/,From Tha Chuuuch to da Palace
/pharrell-williams/,Hunter
/pharrell-williams/,Money Maker
/pharrell-williams/,Smile
/pharrell-williams/,You Can do It Too
/nelly-furtado/,Try
/nelly-furtado/,Feel So Close
/nelly-furtado/,Bucket List
/nelly-furtado/,Enemy
/nelly-furtado/,High Life (Feat. Ace Primo)
/nelly-furtado/,Jump
/nelly-furtado/,No Regrets
/nelly-furtado/,Powerless (Say What You Want)
/nelly-furtado/,Soak It Up
/nelly-furtado/,Trynna Finda Way
/wiz-khalifa/,"Black and Yellow (feat. Snoop Dogg, Juicy J & T-Pain)"
/wiz-khalifa/,Smokin On
/wiz-khalifa/,No Sleep
/wiz-khalifa/,All for You (Ft. THEMXXNLIGHT)
/wiz-khalifa/,Bacc to Winning (Ft. Ty Dolla $ign)
/wiz-khalifa/,Black And Yellow
/wiz-khalifa/,Bts
/wiz-khalifa/,Chevy Bars (Ft. Chevy Woods)
/wiz-khalifa/,Decisions
/wiz-khalifa/,Fall Asleep
/wiz-khalifa/,Get That Zip Off
/wiz-khalifa/,Good For Us
/wiz-khalifa/,Hollywood Hoes
/wiz-khalifa/,Incense
/wiz-khalifa/,Let It Go (Feat. Akon)
/wiz-khalifa/,Mia Wallace
/wiz-khalifa/,Name On a Cloud
/wiz-khalifa/,No Permission
/wiz-khalifa/,Pedal To The Medal
/wiz-khalifa/,Red Carpet (like a Movie)
/wiz-khalifa/,Samo
/wiz-khalifa/,Slim Skit (Kush & Orange Juice)
/wiz-khalifa/,Still Got It (Feat. Project Pat)
/wiz-khalifa/,Taylor Life (Ft. Sosamann)
/wiz-khalifa/,The Grinder
/wiz-khalifa/,The Statement
/wiz-khalifa/,True Colors (Feat. Nicki Minaj)
/wiz-khalifa/,Waken Baken
/wiz-khalifa/,Who's Next?
/wiz-khalifa/,You Gonna Love Me
/kendrick-lamar/,FEAR.
/kendrick-lamar/,YAH.
/kendrick-lamar/,A.D.H.D
/kendrick-lamar/,Black Boy Fly
/kendrick-lamar/,Compton (Feat. Dr. Dre)
/kendrick-lamar/,Fuck Your Ethnicity
/kendrick-lamar/,"Institutionalized (Feat. Anna Wise, Bilal & Snoop Dogg)"
/kendrick-lamar/,Mortal Man
/kendrick-lamar/,Range brothers (With Baby Keem)
/kendrick-lamar/,The Greatest
/kendrick-lamar/,Uncle Bobby & Jason Keaton
/kendrick-lamar/,Wanna Be Heard
/sean-paul/,I'm Still in Love with You (feat. Sasha)
/sean-paul/,Dutty Love
/sean-paul/,"Schedule (Ft. Chi Ching Ching, Damian Marley)"
/sean-paul/,Body
/sean-paul/,Change The Game
/sean-paul/,"Danger Zone (Ft. Sotto Bless, Bugle)"
/sean-paul/,Entertainment (Feat. 2 Chainz & Juicy J)
/sean-paul/,Feeling The Vibe
/sean-paul/,Gun Speech
/sean-paul/,How Deep Is Your Love (feat. Kelly Rowland)
/sean-paul/,Junkin' Punny
/sean-paul/,Mek It Go So Den
/sean-paul/,Nuttin No Go So
/sean-paul/,Punkie
